"name","house_url","price","district","developer","class","building","flat","parking","technology","height","yard","floor","otdelka","min_area","building_rate","height_norm","aream_norm","flat_rate"
"ЖК Vesnovka",NA,"1325000","Алмалинский р-н","Каблан",1,6,208,1,3,3.2,1,12,1,60,3.50480769230769,0.342857142857143,0.183333333333333,1.60952380952381
"КД River House","www.riverhouse.kz","395000","Ауэзовский р-н","7Строй",2,1,56,2,2,3,1,3,4,44,3.51785714285714,0.285714285714286,0.116666666666667,0.985714285714286
"ЖК Эталон",NA,"376390","Бостандыкский р-н","Тура Би",2,2,24,1,2,2.8,1,3,2,53,3.54166666666667,0.228571428571428,0.154166666666667,1.21607142857143
"ЖК Orchard Residences","www.orchard.kz","2150000","Медеуский р-н","Kumpulan Kazakhstan",1,5,47,1,3,3,NA,6,1,206,2.55460992907801,0.285714285714286,0.791666666666667,2.24404761904762
"ЖК Taiman Residence","www.taiman-residence.kz","8,00E+05","Медеуский р-н","North Wind",1,5,35,1,3,3.5,1,4,4,147,3.56190476190476,0.428571428571429,0.545833333333333,1.47440476190476
"ЖК Falconcity","www.falconcity.kz","1070000","Медеуский р-н","Falcon Petroleum",1,4,240,1,3,3,2,12,4,54,3.0875,0.285714285714286,0.158333333333333,0.777380952380952
"ЖК Тан-Нуры","www.tan-nury.kz","735370","Бостандыкский р-н","Falcon Petroleum",1,4,188,1,3,3,1,6,4,88,3.5886524822695,0.285714285714286,0.3,1.00238095238095
"ЖК Hyde Park","www.hydepark.bi-group.org","717000","Бостандыкский р-н","BI Group",1,4,104,1,3,3.2,1,3,2,83,3.59294871794872,0.342857142857143,0.279166666666667,1.45535714285714
"ЖК Bright Hills","www.brighthills.kz","675000","Бостандыкский р-н","РБТ групп",1,7,8,1,3,3,1,3,4,87,3.60119047619048,0.285714285714286,0.295833333333333,1.16488095238095
"ЖК Terrenkur Terrace","www.terrenkurterrace.kz","570000","Медеуский р-н","Есентай Строй",1,4,42,1,3,3.35,1,3,2,64,3.60714285714286,0.385714285714286,0.2,1.41904761904762
"ЖК Dostar","www.dostaralmaty.kz","475000","Алмалинский р-н","Middleman",3,1,516,1,3,2.75,1,14,4,42,3.66860465116279,0.214285714285714,0.108333333333333,0.644047619047619
"ЖК Nomad","www.nomad-rams.kz","365000","Алмалинский р-н","Рамс Казахстан",3,1,504,1,3,2.7,1,13,2,41,3.66865079365079,0.2,0.104166666666667,0.881089743589744
"МЖК Sholpan City","www.sholpancity.kz","450000","Бостандыкский р-н","Bayterek 2050",3,1,450,1,3,3,1,12,4,32,3.66888888888889,0.285714285714286,0.0666666666666667,0.685714285714286
"ЖК Esentai Apartments","www.esentaiapartments.com","1250000","Бостандыкский р-н","Global Development",1,3,400,1,3,2.8,2,21,1,80,3.16916666666667,0.228571428571428,0.266666666666667,1.54285714285714
"ЖК Dostyk Residence","www.dostykresidence.com","550000","Медеуский р-н","Global Building Contract",1,3,360,1,3,3.15,1,7,2,66,3.66944444444444,0.328571428571429,0.208333333333333,1.1797619047619
"ЖК Novella","www.novella-dom.kz","425000","Алмалинский р-н","Sheberbuild",3,1,281,1,3,2.85,1,12,1,40,3.67022538552788,0.242857142857143,0.1,1.42619047619048
"ЖК Верный","www.vernyi-dom.kz","420000","Бостандыкский р-н","AK Construction",3,1,228,1,3,2.85,1,12,2,50,3.67105263157895,0.242857142857143,0.141666666666667,0.967857142857143
"ЖК Медеу Парк","www.medeupark.kz","380000","Медеуский р-н","Есентай Строй",3,1,217,1,3,3,2,12,4,35,3.17127496159754,0.285714285714286,0.0791666666666667,0.698214285714286
"ЖК Алтынсарин","www.altynsarindom.kz","360000","Ауэзовский р-н","Senim-SN",3,1,198,1,3,2.7,1,9,2,59,3.67171717171717,0.2,0.179166666666667,0.990277777777778
